internship_id,student_id,internship_completed,internship_domain,internship_duration_months
980,1980,No,NA,0
981,1981,No,NA,0
982,1982,No,NA,0
983,1983,Yes,Testing,4
984,1984,No,NA,0
985,1985,No,NA,0
986,1986,Yes,Testing,5
987,1987,No,NA,0
988,1988,No,NA,0
989,1989,No,NA,0
990,1990,No,NA,0
991,1991,No,NA,0
992,1992,Yes,Data Analytics,1
993,1993,Yes,Data Analytics,5
994,1994,No,NA,0
995,1995,Yes,AI/ML,6
996,1996,Yes,AI/ML,5
997,1997,Yes,Cloud,4
998,1998,Yes,Testing,4
999,1999,No,NA,0
1000,2000,Yes,Testing,4
1001,2001,Yes,Cloud,4
1002,2002,No,NA,0
1003,2003,No,NA,0
1004,2004,Yes,Cloud,2
1005,2005,No,NA,0
1006,2006,No,NA,0
1007,2007,No,NA,0
1008,2008,No,NA,0
1009,2009,No,NA,0
1010,2010,Yes,Data Analytics,4
1011,2011,Yes,Data Analytics,1
1012,2012,Yes,Cloud,5
1013,2013,No,NA,0
1014,2014,No,NA,0
1015,2015,Yes,AI/ML,2
1016,2016,No,NA,0
1017,2017,Yes,AI/ML,1
1018,2018,No,NA,0
1019,2019,Yes,AI/ML,6
1020,2020,Yes,AI/ML,3
1021,2021,Yes,AI/ML,2
1022,2022,Yes,Testing,5
1023,2023,Yes,AI/ML,6
1024,2024,No,NA,0
1025,2025,Yes,Cloud,2
1026,2026,Yes,Data Analytics,1
1027,2027,No,NA,0
1028,2028,Yes,Testing,1
1029,2029,Yes,AI/ML,1
1030,2030,Yes,AI/ML,6
1031,2031,No,NA,0
1032,2032,Yes,Testing,6
1033,2033,Yes,Cloud,2
1034,2034,Yes,AI/ML,3
1035,2035,Yes,Cloud,1
1036,2036,Yes,Data Analytics,6
1037,2037,Yes,Data Analytics,4
1038,2038,Yes,Data Analytics,2
1039,2039,No,NA,0
1040,2040,No,NA,0
1041,2041,Yes,Data Analytics,1
1042,2042,No,NA,0
1043,2043,No,NA,0
1044,2044,Yes,AI/ML,1
1045,2045,No,NA,0
1046,2046,Yes,AI/ML,1
1047,2047,No,NA,0
1048,2048,Yes,Testing,6
1049,2049,No,NA,0
1050,2050,No,NA,0
1051,2051,No,NA,0
1052,2052,No,NA,0
1053,2053,Yes,Testing,3
1054,2054,Yes,Testing,6
1055,2055,Yes,Data Analytics,3
1056,2056,No,NA,0
1057,2057,No,NA,0
1058,2058,Yes,Testing,5
1059,2059,No,NA,0
1060,2060,Yes,Testing,5
1061,2061,Yes,Data Analytics,5
1062,2062,Yes,Testing,3
1063,2063,Yes,Testing,1
1064,2064,No,NA,0
1065,2065,Yes,Testing,1
1066,2066,Yes,Cloud,3
1067,2067,No,NA,0
1068,2068,Yes,Data Analytics,3
1069,2069,No,NA,0
1070,2070,No,NA,0
1071,2071,No,NA,0
1072,2072,No,NA,0
1073,2073,No,NA,0
1074,2074,Yes,Cloud,2
1075,2075,Yes,Cloud,4
1076,2076,Yes,Cloud,2
1077,2077,Yes,AI/ML,4
1078,2078,No,NA,0
1079,2079,No,NA,0
1080,2080,No,NA,0
1081,2081,No,NA,0
1082,2082,Yes,AI/ML,4
1083,2083,Yes,Cloud,3
1084,2084,Yes,AI/ML,2
1085,2085,Yes,Cloud,5
1086,2086,No,NA,0
1087,2087,No,NA,0
1088,2088,No,NA,0
1089,2089,No,NA,0
1090,2090,Yes,Data Analytics,2
1091,2091,No,NA,0
1092,2092,No,NA,0
1093,2093,Yes,Cloud,2
1094,2094,Yes,Testing,6
1095,2095,No,NA,0
1096,2096,No,NA,0
1097,2097,Yes,Cloud,1
1098,2098,Yes,Cloud,6
1099,2099,Yes,Cloud,2
1100,2100,No,NA,0
1101,2101,No,NA,0
1102,2102,Yes,Data Analytics,4
1103,2103,No,NA,0
1104,2104,Yes,Testing,1
1105,2105,No,NA,0
1106,2106,Yes,AI/ML,6
1107,2107,No,NA,0
1108,2108,No,NA,0
1109,2109,No,NA,0
1110,2110,Yes,Testing,1
1111,2111,No,NA,0
1112,2112,No,NA,0
1113,2113,Yes,Cloud,4
1114,2114,Yes,Data Analytics,4
1115,2115,Yes,Cloud,5
1116,2116,No,NA,0
1117,2117,Yes,Data Analytics,3
1118,2118,Yes,Data Analytics,4
1119,2119,No,NA,0
1120,2120,Yes,AI/ML,1
1121,2121,Yes,Cloud,6
1122,2122,Yes,Data Analytics,4
1123,2123,Yes,AI/ML,6
1124,2124,No,NA,0
1125,2125,No,NA,0
1126,2126,No,NA,0
1127,2127,No,NA,0
1128,2128,No,NA,0
1129,2129,Yes,Cloud,4
1130,2130,Yes,AI/ML,3
1131,2131,No,NA,0
1132,2132,No,NA,0
1133,2133,Yes,Cloud,5
1134,2134,Yes,Data Analytics,2
1135,2135,Yes,Data Analytics,2
1136,2136,Yes,Cloud,6
1137,2137,No,NA,0
1138,2138,Yes,Testing,1
1139,2139,Yes,Cloud,5
1140,2140,Yes,Data Analytics,3
1141,2141,Yes,Data Analytics,1
1142,2142,No,NA,0
1143,2143,Yes,Cloud,3
1144,2144,No,NA,0
1145,2145,No,NA,0
1146,2146,Yes,Testing,5
1147,2147,No,NA,0
1148,2148,Yes,Testing,3
1149,2149,Yes,AI/ML,6
1150,2150,No,NA,0
1151,2151,Yes,Testing,5
1152,2152,No,NA,0
1153,2153,No,NA,0
1154,2154,No,NA,0
1155,2155,No,NA,0
1156,2156,No,NA,0
1157,2157,Yes,Data Analytics,3
1158,2158,No,NA,0
1159,2159,Yes,Cloud,5
1160,2160,Yes,Testing,6
1161,2161,Yes,Data Analytics,4
1162,2162,Yes,Testing,1
1163,2163,Yes,AI/ML,4
1164,2164,Yes,AI/ML,1
1165,2165,No,NA,0
1166,2166,Yes,Cloud,3
1167,2167,No,NA,0
1168,2168,Yes,Data Analytics,2
1169,2169,Yes,Cloud,4
1170,2170,No,NA,0
1171,2171,Yes,AI/ML,2
1172,2172,Yes,Cloud,4
1173,2173,Yes,Cloud,5
1174,2174,Yes,Testing,4
1175,2175,Yes,Data Analytics,2
1176,2176,Yes,AI/ML,2
1177,2177,No,NA,0
1178,2178,Yes,AI/ML,6
1179,2179,No,NA,0
1180,2180,No,NA,0
1181,2181,No,NA,0
1182,2182,Yes,Data Analytics,3
1183,2183,No,NA,0
1184,2184,Yes,Testing,4
1185,2185,No,NA,0
1186,2186,No,NA,0
1187,2187,Yes,AI/ML,3
1188,2188,No,NA,0
1189,2189,Yes,Data Analytics,6
1190,2190,No,NA,0
1191,2191,No,NA,0
1192,2192,Yes,Cloud,2
1193,2193,No,NA,0
1194,2194,Yes,Cloud,5
1195,2195,No,NA,0
1196,2196,No,NA,0
1197,2197,Yes,Data Analytics,6
1198,2198,Yes,Data Analytics,2
1199,2199,Yes,Data Analytics,1
1200,2200,No,NA,0
